"","road_fit_all","road_fit_all","road_fit_all","road_fit_all"
"66",33.7515,35.432,40.6141666666667,32.988
"67",34.7551666666667,36.5443333333333,30.4063333333333,34.0341666666667
"68",33.5926666666667,35.396,37.8041666666667,35.5241666666667
"69",35.1766666666667,35.4865,40.2968333333333,37.6385
"70",35.595,34.8681666666667,39.2028333333333,37.023
"71",35.7481666666667,35.579,39.7706666666667,36.2776666666667
"72",37.2483333333333,35.7963333333333,40.2795,41.5253333333333
"73",40.1931666666667,39.2449652468941,42.5913333333333,46.1411666666667
"74",41.5108535247783,40.3750939652395,44.3646666666667,48.5911006273362
"75",43.0279473738072,42.1051623108783,46.2398333333333,49.5779683274823
"76",42.8719440698316,42.18649629386,47.508690959371,51.4100546927773
"77",44.5089534791797,45.1165956398813,48.6688182468024,52.0647244504015
"78",44.445984003816,42.208827460618,48.7098584842369,52.9165241904175
"79",44.6726920481164,42.7914188376537,46.9971324014441,49.2451461765242
"80",45.3545777279206,38.4851317955968,47.4739287241859,48.7192956800375
"81",35.7562822060333,39.3596638562749,36.4375614128916,43.8187960273831
"82",37.0726873862136,35.1195713453255,27.85641831565,37.9474636594551
"83",35.1469782120382,34.3561356741401,19.7761954358874,31.0067818241839
"84",31.385709222028,33.9772086960891,18.7144009682771,34.8928950436097
"85",34.654736676181,33.1396277186883,24.2079252139983,39.2602905258507
"86",37.1231625618271,33.9323654834451,36.9677778608855,40.9325898485664
"87",35.5365308563358,34.205060430042,40.2629149097514,39.1451026452869
"88",34.9251935462504,34.1928654989663,35.3686383573786,37.4920654456664
"89",34.7672950882747,33.148547131665,38.1728177238697,36.5665852150498
"90",32.6307186540325,35.7503829688999,39.6171131054521,35.854931848023
"91",35.1551744659056,35.3207571219349,35.2873566009512,36.3705720769824
"92",34.7937482088812,37.0236412809347,37.8011378617578,34.8948860963189
"93",34.7524153834727,32.8565579780733,42.459740612703,33.0988993497666
"94",34.5757557881636,32.7249848592548,37.3432448915017,31.7733300866201
"95",34.5035948085132,34.9304815652216,36.2918364362961,35.4369191923314
"96",37.0141010382982,34.4332893895806,38.3676129758216,41.0587774988212
"97",39.3840661684845,40.2706943610621,41.0492342098818,45.6571484012524
"98",41.1881758619213,39.4656811890904,44.9687498431698,48.7578081652403
"99",42.1764938651213,43.4380174126083,45.8575375585938,50.0459976067505
"100",43.1077781472012,40.6383803162258,47.7518852774912,51.1360516888077
"101",43.862595706885,45.3501293396206,47.4183481726229,51.7958846873494
"102",44.3457775563652,41.2761385641863,48.5189016809289,52.1243880839323
"103",44.6645385516698,39.9356778600069,47.005682493284,49.0168879912268
"104",45.5438888344683,39.6040605682888,45.8126516983129,49.0794240224297
"105",35.716639261905,37.6082038740589,27.837986156778,32.8181658311884
"106",34.0383215753848,35.3339161250918,29.6255072585038,37.8922543102057
"107",33.6904551823087,33.832485657534,25.4268277578144,36.4180748385972
"108",32.0781590170515,34.528612758515,19.2473475200851,38.0057487367238
"109",34.7833402857252,34.2651142576993,27.4343616717654,37.330149879454
"110",36.8357094739197,34.0746225429293,38.9762072868198,40.6518860148318
"111",36.1261251470354,34.8139446729119,39.5237195481955,40.4172218817909
"112",35.0027957704717,32.0345285039478,32.6791497302233,36.86299765063
"113",32.6097065946502,34.4708303590473,35.4745591342896,34.1088652542938
"114",34.7368863833187,34.9770965715077,30.8151391297427,34.0473020876839
"115",35.0234441783862,37.2468462088844,31.3848363768148,31.570541249235
"116",32.5482538526633,35.7086670526952,36.4265967443167,29.5035293203645
"117",34.1654223715622,33.6792286899703,41.7508031775357,35.3754509423645
"118",34.3023521907271,34.6980867839952,39.4397249538788,39.0122174734648
"119",35.7930412491119,34.0982135793939,32.1399294848298,37.8844899649505
"120",35.2728057698767,35.7364286612607,43.5803967414894,41.9125002841857
"121",38.867376276832,38.508432914966,44.3264760978411,46.6189906003079
"122",39.8056062842888,41.1944146053535,43.3784972406845,48.877023029526
"123",41.9652704507134,40.4872624098551,45.8576456690571,50.3348211483534
"124",43.3892414395962,43.3469764158228,47.6186926627314,51.3364167024706
"125",43.7949038728518,42.5137381950891,47.4925393691787,51.9832988656533
"126",44.569862020894,43.1055833286475,48.1129849856593,51.253181462005
"127",44.0509406691376,40.0197068877052,46.7934080321931,50.4477936615639
"128",44.8546773697991,38.918451543303,45.5525550262901,48.8009407541238
"129",35.9152786317708,39.6431997558459,22.8733047220928,30.4802310376707
"130",33.3792151809898,32.0057341423129,28.0913668384998,36.844704947892
"131",33.3033173913321,34.8814516476213,16.3453640606741,37.575505570897
"132",32.8606965261007,33.8533056439577,17.6200663614515,35.0900021758538
"133",35.7092679249953,34.0212874693302,24.0026685839395,36.7600962974063
"134",36.9101168879784,34.2905331887584,33.6469348715237,41.2499602972159
"135",36.4418314534272,32.9171500102145,39.7349738347793,41.5367265612802
"136",34.5442984427345,33.5490433063373,38.9767656768949,37.9863271099246
"137",32.9730533464331,33.1407615727674,36.442636017342,33.2627544333816
"138",34.691646041801,34.5317228011433,44.462265729957,35.0081674857351
"139",35.1075765028288,37.5035362368376,35.056399092672,28.9749060017062
"140",33.5006430121255,33.8839012987861,36.6500470438543,25.3975809910462
"141",34.0638217381931,35.3709382149866,39.9737957447178,26.4044752075465
"142",34.4912251806555,33.2049230984839,39.0725619175193,34.6121058805231
"143",33.7887296603602,35.979390047327,33.2672185995083,37.1662679528015
"144",35.993012954893,34.3551649758556,40.6216367433255,40.0069235460467
"145",38.6532748147575,39.9625773740498,44.7301949761217,44.7263154985775
"146",42.1968782461601,39.9533096229222,43.9403370273644,47.383086350188
"147",41.5618890831462,41.5482158017699,45.1102960295501,51.0361476639931
"148",43.4075426594147,43.6734972824926,47.1711911916903,50.6894980610832
"149",42.9076135951352,41.7098433901589,47.327599945668,51.8137394109531
